distnum,distname,bloc_share,cpc_share,gpc_share,lpc_share,ndp_share,ind_share,bloc_margin,cpc_margin,gpc_margin,lpc_margin,ndp_margin,ind_margin,winner,winnershare,province
24023,Compton--Stanstead,20.7,12.5,1.9,36.9,27.4,0.6,-16.2,-24.4,-35.0,0.0,-9.5,-36.3,LPC,36.9,Quebec
24024,Dorval--Lachine--LaSalle,9.8,11.1,2.3,54.9,21.6,0.4,-45.099999999999994,-43.8,-52.6,0.0,-33.3,-54.5,LPC,54.9,Quebec
24025,Drummond,22.8,17.7,2.4,26.5,30.5,0.0,-7.699999999999999,-12.8,-28.1,-4.0,0.0,-30.5,NDP,30.5,Quebec
24026,Gaspésie--Les Îles-de-la-Madeleine,20.9,6.1,1.0,38.7,32.5,0.8,-17.800000000000004,-32.6,-37.7,0.0,-6.200000000000003,-37.900000000000006,LPC,38.7,Quebec
24027,Gatineau,9.4,8.2,1.6,53.8,26.6,0.3,-44.4,-45.599999999999994,-52.199999999999996,0.0,-27.199999999999996,-53.5,LPC,53.8,Quebec
24028,Hochelaga,27.7,6.8,3.2,29.9,30.9,0.8,-3.1999999999999993,-24.099999999999998,-27.7,-1.0,0.0,-30.099999999999998,NDP,30.9,Quebec
24029,Honoré-Mercier,12.9,12.1,1.6,56.5,16.4,0.3,-43.6,-44.4,-54.9,0.0,-40.1,-56.2,LPC,56.5,Quebec
24030,Hull--Aylmer,6.5,7.7,1.9,51.4,31.5,0.5,-44.9,-43.699999999999996,-49.5,0.0,-19.9,-50.9,LPC,51.4,Quebec
24031,Joliette,33.3,10.1,2.4,28.2,25.7,0.4,0.0,-23.199999999999996,-30.9,-5.099999999999998,-7.599999999999998,-32.9,Bloc,33.3,Quebec
24032,Jonquière,23.3,16.9,1.4,28.5,29.2,0.8,-5.899999999999999,-12.3,-27.8,-0.6999999999999993,0.0,-28.4,NDP,29.2,Quebec
24033,La Pointe-de-l'Île,33.6,8.0,2.0,28.6,26.8,0.6,0.0,-25.6,-31.6,-5.0,-6.800000000000001,-33.0,Bloc,33.6,Quebec
24034,La Prairie,26.2,11.9,2.1,36.5,22.9,0.4,-10.3,-24.6,-34.4,0.0,-13.600000000000001,-36.1,LPC,36.5,Quebec
24035,Lac-Saint-Jean,18.4,33.3,1.5,18.4,28.5,0.0,-14.899999999999999,0.0,-31.799999999999997,-14.899999999999999,-4.799999999999997,-33.3,CPC,33.3,Quebec
24036,Lac-Saint-Louis,2.7,17.4,2.9,64.1,12.8,0.0,-61.39999999999999,-46.699999999999996,-61.199999999999996,0.0,-51.3,-64.1,LPC,64.1,Quebec
24037,LaSalle--Émard--Verdun,17.0,6.9,3.2,43.9,29.0,0.0,-26.9,-37.0,-40.699999999999996,0.0,-14.899999999999999,-43.9,LPC,43.9,Quebec
24038,Laurentides--Labelle,29.7,9.8,2.0,32.1,26.3,0.0,-2.400000000000002,-22.3,-30.1,0.0,-5.800000000000001,-32.1,LPC,32.1,Quebec
24039,Laurier--Sainte-Marie,28.7,4.1,3.5,23.7,38.3,1.1,-9.599999999999998,-34.199999999999996,-34.8,-14.599999999999998,0.0,-37.199999999999996,NDP,38.3,Quebec
24040,Laval--Les Îles,12.4,18.1,1.7,47.7,19.8,0.3,-35.300000000000004,-29.6,-46.0,0.0,-27.900000000000002,-47.400000000000006,LPC,47.7,Quebec
24042,Lévis--Lotbinière,11.4,50.1,1.8,21.7,14.8,0.2,-38.7,0.0,-48.300000000000004,-28.400000000000002,-35.3,-49.9,CPC,50.1,Quebec
24041,Longueuil--Charles-LeMoyne,27.0,9.6,2.9,35.4,24.1,0.6,-8.399999999999999,-25.799999999999997,-32.5,0.0,-11.299999999999997,-34.8,LPC,35.4,Quebec
